company,ticker,year,quarter,filename,filepath
Adobe,ADBE,2024,1,2024_Q1_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2024_Q1_adbe_processed.txt
Adobe,ADBE,2024,2,2024_Q2_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2024_Q2_adbe_processed.txt
Adobe,ADBE,2024,3,2024_Q3_adbe_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Adobe/2024_Q3_adbe_processed.txt
Airbus,AIR,2018,1,2018_Q1_air_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Airbus/2018_Q1_air_processed.txt
Airbus,AIR,2019,1,2019_Q1_air_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Airbus/2019_Q1_air_processed.txt
Airbus,AIR,2020,1,2020_Q1_air_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Airbus/2020_Q1_air_processed.txt
Airbus,AIR,2021,1,2021_Q1_air_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Airbus/2021_Q1_air_processed.txt
Airbus,AIR,2022,1,2022_Q1_air_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Airbus/2022_Q1_air_processed.txt
Airbus,AIR,2022,4,2022_Q4_air_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Airbus/2022_Q4_air_processed.txt
Airbus,AIR,2023,1,2023_Q1_air_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Airbus/2023_Q1_air_processed.txt
Airbus,AIR,2023,2,2023_Q2_air_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Airbus/2023_Q2_air_processed.txt
Airbus,AIR,2024,1,2024_Q1_air_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Airbus/2024_Q1_air_processed.txt
Allstate,ALL,2017,4,2017_Q4_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2017_Q4_all_processed.txt
Allstate,ALL,2018,1,2018_Q1_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2018_Q1_all_processed.txt
Allstate,ALL,2018,2,2018_Q2_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2018_Q2_all_processed.txt
Allstate,ALL,2018,3,2018_Q3_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2018_Q3_all_processed.txt
Allstate,ALL,2018,4,2018_Q4_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2018_Q4_all_processed.txt
Allstate,ALL,2019,1,2019_Q1_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2019_Q1_all_processed.txt
Allstate,ALL,2019,2,2019_Q2_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2019_Q2_all_processed.txt
Allstate,ALL,2019,3,2019_Q3_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2019_Q3_all_processed.txt
Allstate,ALL,2019,4,2019_Q4_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2019_Q4_all_processed.txt
Allstate,ALL,2020,1,2020_Q1_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2020_Q1_all_processed.txt
Allstate,ALL,2020,2,2020_Q2_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2020_Q2_all_processed.txt
Allstate,ALL,2020,3,2020_Q3_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2020_Q3_all_processed.txt
Allstate,ALL,2020,4,2020_Q4_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2020_Q4_all_processed.txt
Allstate,ALL,2021,1,2021_Q1_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2021_Q1_all_processed.txt
Allstate,ALL,2021,2,2021_Q2_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2021_Q2_all_processed.txt
Allstate,ALL,2021,3,2021_Q3_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2021_Q3_all_processed.txt
Allstate,ALL,2021,4,2021_Q4_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2021_Q4_all_processed.txt
Allstate,ALL,2022,1,2022_Q1_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2022_Q1_all_processed.txt
Allstate,ALL,2022,2,2022_Q2_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2022_Q2_all_processed.txt
Allstate,ALL,2022,3,2022_Q3_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2022_Q3_all_processed.txt
Allstate,ALL,2022,4,2022_Q4_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2022_Q4_all_processed.txt
Allstate,ALL,2023,1,2023_Q1_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2023_Q1_all_processed.txt
Allstate,ALL,2023,2,2023_Q2_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2023_Q2_all_processed.txt
Allstate,ALL,2023,3,2023_Q3_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2023_Q3_all_processed.txt
Allstate,ALL,2023,4,2023_Q4_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2023_Q4_all_processed.txt
Allstate,ALL,2024,1,2024_Q1_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2024_Q1_all_processed.txt
Allstate,ALL,2024,2,2024_Q2_all_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Allstate/2024_Q2_all_processed.txt
Alphabet,GOOGL,2017,4,2017_Q4_googl_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Alphabet/2017_Q4_googl_processed.txt
Alphabet,GOOGL,2018,1,2018_Q1_googl_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Alphabet/2018_Q1_googl_processed.txt
Alphabet,GOOGL,2018,2,2018_Q2_googl_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Alphabet/2018_Q2_googl_processed.txt
Alphabet,GOOGL,2018,3,2018_Q3_googl_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Alphabet/2018_Q3_googl_processed.txt
Alphabet,GOOGL,2018,4,2018_Q4_googl_processed.txt,/scratch/sd5957/finverify_2/data/raw/earnings_calls/cleaned_ECTs_dataset/Alphabet/2018_Q4_googl_processed.txt
